inlf	horas_esposa	hijos	edad_esposa	educ_esposa	horas_esposo	edad_esposo	educ_esposo	ingreso	exper_esposa	d_hijo6	salario_esposa	salario_esposo	Tipo_empleo	Dpto_residencia
1	1610	1	32	12	2708	34	12	815500	14	1	12745.2	15309.44	1	3
1	1656	0	30	12	2310	30	9	1090000	5	0	5277.8203	32078.08	1	1
1	1980	1	35	12	3072	40	12	1052000	15	1	17272.898	13606.66	1	2
1	456	0	34	12	1920	53	10	365000	6	0	4166.7002	13458.46	1	2
1	1568	1	31	14	2000	32	12	1365000	7	1	17448.84	38000	1	2
1	2032	0	54	12	1040	57	11	974750	33	0	18019.979	25500.279	2	1
1	1440	0	37	16	2670	37	12	1057600	11	0	31666.539	13025.26	1	3
1	1020	0	54	12	4120	53	8	945000	35	0	29803.779	9684.2998	1	3
1	1458	0	48	12	1995	52	4	1020250	24	0	8079.5601	16038.28	1	3
1	1600	0	39	12	2100	43	12	1021250	21	0	17812.5	21714.34	1	1
1	1969	0	33	12	2450	34	12	1615000	15	0	15439.4	37224.422	1	3
1	1960	0	42	11	2375	47	14	1435000	14	0	17448.84	30400	1	1
1	240	1	30	12	2830	33	16	775000	0	1	7916.5405	20141.52	1	1
1	997	0	43	12	3317	46	12	843000	14	0	8613.8398	16496.939	2	3
1	1848	0	43	10	2024	45	17	1571550	6	0	13982.859	41306	2	3
1	1224	0	35	11	1694	38	12	959000	9	0	5119.3604	34769.621	2	3
1	1400	0	43	12	2156	45	12	930000	20	0	12214.34	23265.119	2	3
1	640	0	39	12	2250	40	12	957550	6	0	19665	23369.24	2	1
1	2000	0	45	12	2024	51	11	905000	23	0	7600	26284.6	2	2
1	1324	0	35	12	2123	40	10	1015000	9	0	28701.02	17899.141	2	3
1	2215	0	42	16	4160	48	16	1520950	5	0	13319.76	11897.8	2	3
1	1680	0	30	12	2000	35	12	704500	11	0	13571.319	15200	2	2
1	1600	0	48	13	2420	52	17	1133950	18	0	12350	27446.26	2	1
