protractor_A
t	θ
0.000000000E0	1.702794275E2
1.001000000E-1	1.682822750E2
2.002000000E-1	1.686301361E2
3.003000000E-1	1.670995441E2
4.004000000E-1	1.641584658E2
5.005000000E-1	1.637825211E2
6.006000000E-1	1.630450209E2
7.007000000E-1	1.620672295E2
8.008000000E-1	1.608335549E2
9.009000000E-1	1.620715174E2
1.001000000E0	1.607798455E2
1.101211000E0	1.596276015E2
1.201311000E0	1.604984491E2
1.301411000E0	1.610191021E2
1.401511000E0	1.606933176E2
1.501611000E0	1.594017414E2
1.601711000E0	1.591416594E2
1.701811000E0	1.577352842E2
1.801911000E0	1.585211686E2
1.902011000E0	1.588832743E2
2.002111000E0	1.583260665E2
2.102211000E0	1.578300107E2
2.202311000E0	1.579023371E2
2.302411000E0	1.573416869E2
2.402511000E0	1.576049932E2
2.502611000E0	1.584336047E2
2.602822000E0	1.578889773E2
2.702934000E0	1.563437231E2
2.803034000E0	1.555878802E2
2.903134000E0	1.543265999E2
3.003234000E0	1.538118313E2
3.103334000E0	1.514698433E2
3.203434000E0	1.512457048E2
3.303534000E0	1.507889337E2
3.403634000E0	1.504220520E2
3.503734000E0	1.501319017E2
3.603834000E0	1.497376671E2
3.703934000E0	1.484880351E2
3.804034000E0	1.475109252E2
3.904134000E0	1.461304020E2
4.004234000E0	1.449237636E2
4.104334000E0	1.465251430E2
4.204434000E0	1.454205737E2
4.304534000E0	1.457447910E2
4.404634000E0	1.440095144E2
4.504734000E0	1.429847178E2
4.604945000E0	1.443607247E2
4.705056000E0	1.428898549E2
4.805167000E0	1.436961049E2
4.905267000E0	1.424453762E2
5.005367000E0	1.413081443E2
5.105467000E0	1.408747218E2
5.205567000E0	1.389967332E2
5.305667000E0	1.402799725E2
5.405767000E0	1.387618390E2
5.505867000E0	1.395948030E2
5.605967000E0	1.386474834E2
5.706067000E0	1.375400426E2
5.806167000E0	1.364035647E2
5.906267000E0	1.349386954E2
6.006367000E0	1.346119379E2
6.106467000E0	1.340752302E2
6.206567000E0	1.331158385E2
6.306667000E0	1.332142050E2
6.406767000E0	1.335042434E2
6.506867000E0	1.318119574E2
6.607078000E0	1.322496669E2
6.707189000E0	1.323981603E2
6.807289000E0	1.305435910E2
6.907389000E0	1.303073744E2
7.007489000E0	1.289542649E2
7.107589000E0	1.283139875E2
7.207689000E0	1.283139875E2
7.307789000E0	1.284469909E2
7.407889000E0	1.272844978E2
7.507989000E0	1.275594935E2
7.608089000E0	1.281064779E2
7.708189000E0	1.262166268E2
7.808289000E0	1.259852852E2
7.908389000E0	1.258954026E2
8.008489000E0	1.256064416E2
8.108589000E0	1.258546295E2
8.208689000E0	1.258546295E2
8.308789000E0	1.251188946E2
8.408889000E0	1.245327331E2
8.509100000E0	1.242827500E2
8.609200000E0	1.247036279E2
8.709300000E0	1.230835170E2
8.809400000E0	1.238338747E2
8.909500000E0	1.239584980E2
9.009600000E0	1.239584980E2
9.109700000E0	1.256636276E2
9.209800000E0	1.251831723E2
9.309900000E0	1.247038283E2
9.410000000E0	1.213075375E2
9.510100000E0	1.234196680E2
9.610200000E0	1.220966010E2
9.710300000E0	1.229610526E2
9.810400000E0	1.250369050E2
9.910500000E0	1.231767636E2
1.001060000E1	1.220608635E2
1.011070000E1	1.224903378E2
1.021080000E1	1.217573843E2
1.031090000E1	1.213604506E2
1.041100000E1	1.203169650E2
1.051110000E1	1.204903951E2
1.061120000E1	1.197051840E2
1.071130000E1	1.192413388E2
1.081140000E1	1.190204659E2
1.091150000E1	1.191980322E2
1.101171100E1	1.172906398E2
1.111181100E1	1.158060994E2
1.121191100E1	1.164698302E2
1.131201100E1	1.140074771E2
1.141211100E1	1.160545841E2
1.151221100E1	1.164527202E2
1.161231100E1	1.160749047E2
1.171241100E1	1.150903028E2
1.181251100E1	1.136377421E2
1.191261100E1	1.136377421E2
1.201271100E1	1.127463562E2
1.211281100E1	1.131887881E2
1.221291100E1	1.112676102E2
1.231301100E1	1.142303958E2
1.241311100E1	1.116029492E2
1.251321100E1	1.093607564E2
1.261331100E1	1.093607564E2
1.271341100E1	1.094370841E2
1.281362200E1	1.091069014E2
1.291372200E1	1.081262365E2
1.301382200E1	1.066622809E2
1.311392200E1	1.064585644E2
1.321402200E1	1.062798697E2
1.331412200E1	1.060402263E2
1.341422200E1	1.048559442E2
1.351432200E1	1.036489520E2
1.361442200E1	1.054740479E2
1.371452200E1	1.038433933E2
1.381462200E1	1.045734511E2
1.391472200E1	1.040178542E2
1.401482200E1	1.038015890E2
1.411492200E1	1.033915203E2
1.421502200E1	1.019589698E2
1.431512200E1	1.011017217E2
1.441522200E1	1.009266849E2
1.451543400E1	1.000312434E2
1.461553400E1	9.913601252E1
1.471563400E1	9.926867819E1
1.481573400E1	9.931740602E1
1.491583400E1	9.869627244E1
1.501593400E1	9.885409222E1
1.511603400E1	9.903219017E1
1.521613400E1	9.681502810E1
1.531623400E1	9.641978482E1
1.541633400E1	9.592024229E1
1.551643400E1	9.604707550E1
1.561653400E1	9.525590241E1
1.571663400E1	9.365288839E1
1.581673400E1	9.509112255E1
1.591683400E1	9.370681275E1
1.601693400E1	9.365509887E1
1.611703400E1	9.278798949E1
1.621713400E1	9.300070017E1
1.631723400E1	9.273502722E1
1.641733400E1	9.273502722E1
1.651743400E1	9.179046427E1
1.661753400E1	9.137281725E1
1.671774500E1	9.133684346E1
1.681785600E1	9.009576764E1
1.691796700E1	9.111629944E1
1.701806700E1	8.982658069E1
1.711816700E1	9.099505347E1
