protractor_B
t	θ
0.000000000E0	0.000000000E0
1.001000000E-1	0.000000000E0
2.002000000E-1	0.000000000E0
3.003000000E-1	0.000000000E0
4.004000000E-1	0.000000000E0
5.005000000E-1	0.000000000E0
6.006000000E-1	0.000000000E0
7.007000000E-1	0.000000000E0
8.008000000E-1	0.000000000E0
9.009000000E-1	0.000000000E0
1.001000000E0	0.000000000E0
1.101211000E0	0.000000000E0
1.201311000E0	0.000000000E0
1.301411000E0	0.000000000E0
1.401511000E0	0.000000000E0
1.501611000E0	0.000000000E0
1.601711000E0	0.000000000E0
1.701811000E0	0.000000000E0
1.801911000E0	0.000000000E0
1.902011000E0	0.000000000E0
2.002111000E0	0.000000000E0
2.102211000E0	0.000000000E0
2.202311000E0	0.000000000E0
2.302411000E0	0.000000000E0
2.402511000E0	0.000000000E0
2.502611000E0	0.000000000E0
2.602822000E0	0.000000000E0
2.702934000E0	0.000000000E0
2.803034000E0	0.000000000E0
2.903134000E0	0.000000000E0
3.003234000E0	0.000000000E0
3.103334000E0	0.000000000E0
3.203434000E0	0.000000000E0
3.303534000E0	0.000000000E0
3.403634000E0	0.000000000E0
3.503734000E0	0.000000000E0
3.603834000E0	0.000000000E0
3.703934000E0	0.000000000E0
3.804034000E0	0.000000000E0
3.904134000E0	0.000000000E0
4.004234000E0	0.000000000E0
4.104334000E0	0.000000000E0
4.204434000E0	0.000000000E0
4.304534000E0	0.000000000E0
4.404634000E0	0.000000000E0
4.504734000E0	0.000000000E0
4.604945000E0	0.000000000E0
4.705056000E0	0.000000000E0
4.805167000E0	0.000000000E0
4.905267000E0	0.000000000E0
5.005367000E0	0.000000000E0
5.105467000E0	0.000000000E0
5.205567000E0	0.000000000E0
5.305667000E0	0.000000000E0
5.405767000E0	0.000000000E0
5.505867000E0	0.000000000E0
5.605967000E0	0.000000000E0
5.706067000E0	-9.763036973E0
5.806167000E0	-1.044390640E1
5.906267000E0	-1.274443198E1
6.006367000E0	-1.489223558E1
6.106467000E0	-1.670557940E1
6.206567000E0	-1.647281133E1
6.306667000E0	-1.951682457E1
6.406767000E0	-2.006663523E1
6.506867000E0	-2.194805184E1
6.607078000E0	-2.313845924E1
6.707189000E0	-2.219812473E1
6.807289000E0	-2.371812081E1
6.907389000E0	-2.510479161E1
7.007489000E0	-2.481394800E1
7.107589000E0	-2.721105860E1
7.207689000E0	-2.782155735E1
7.307789000E0	-2.908627612E1
7.407889000E0	-3.043694396E1
7.507989000E0	-3.057787683E1
7.608089000E0	-3.191232565E1
7.708189000E0	-3.119368790E1
7.808289000E0	-3.300393540E1
7.908389000E0	-3.344502991E1
8.008489000E0	-3.322688675E1
8.108589000E0	-3.484991022E1
8.208689000E0	-3.549157872E1
8.308789000E0	-3.416883055E1
8.408889000E0	-3.530113274E1
8.509100000E0	-3.637900748E1
8.609200000E0	-3.643297666E1
8.709300000E0	-3.745398095E1
8.809400000E0	-3.690750087E1
8.909500000E0	-3.862052004E1
9.009600000E0	-3.924922269E1
9.109700000E0	-4.093180382E1
9.209800000E0	-4.164559372E1
9.309900000E0	-4.146938462E1
9.410000000E0	-3.964281919E1
9.510100000E0	-4.020221569E1
9.610200000E0	-4.068908917E1
9.710300000E0	-4.127556909E1
9.810400000E0	-4.131386428E1
9.910500000E0	-4.099849041E1
1.001060000E1	-4.036808241E1
1.011070000E1	-4.270710514E1
1.021080000E1	-4.271185387E1
1.031090000E1	-4.335042290E1
